YEAR,MONTH,DATE,HOUR,MIN,PREDICTED,ACTUAL,ERROR,ERROR_RUN_SUM
2014,11,4,0,0,,0.02755,,
2014,11,4,1,0,,0.0266,,
2014,11,4,2,0,,0.02677,,
2014,11,4,3,0,,0.02657,,
2014,11,4,4,0,,0.02798,,
2014,11,4,5,0,,0.03657,,
2014,11,4,6,0,,0.04307,,
2014,11,4,7,0,,0.04151,,
2014,11,4,8,0,,0.03998,,
2014,11,4,9,0,,0.04091,,
2014,11,4,10,0,,0.04004,,
2014,11,4,11,0,,0.03639,,
2014,11,4,12,0,,0.03585,,
2014,11,4,13,0,,0.03423,,
2014,11,4,14,0,,0.03411,,
2014,11,4,15,0,,0.03732,,
2014,11,4,16,0,,0.05003,,
2014,11,4,17,0,,0.05118,,
2014,11,4,18,0,,0.04345,,
2014,11,4,19,0,,0.04022,,
2014,11,4,20,0,,0.03688,,
2014,11,4,21,0,,0.03175,,
2014,11,4,22,0,,0.02919,,
2014,11,4,23,0,,0.02805,,
2014,11,5,0,0,,0.02712,,
2014,11,5,1,0,,0.02555,,
2014,11,5,2,0,,0.02406,,
2014,11,5,3,0,,0.02477,,
2014,11,5,4,0,,0.02586,,
2014,11,5,5,0,,0.03228,,
2014,11,5,6,0,,0.0407,,
2014,11,5,7,0,,0.04086,,
2014,11,5,8,0,,0.04016,,
2014,11,5,9,0,,0.04142,,
2014,11,5,10,0,,0.03922,,
2014,11,5,11,0,,0.03587,,
2014,11,5,12,0,,0.03491,,
2014,11,5,13,0,,0.03395,,
2014,11,5,14,0,,0.03315,,
2014,11,5,15,0,,0.03525,,
2014,11,5,16,0,,0.04588,,
2014,11,5,17,0,,0.04472,,
2014,11,5,18,0,,0.03963,,
2014,11,5,19,0,,0.03599,,
2014,11,5,20,0,,0.03423,,
2014,11,5,21,0,,0.03199,,
2014,11,5,22,0,,0.02941,,
2014,11,5,23,0,,0.02762,,
2014,11,6,0,0,,0.02561,,
2014,11,6,1,0,,0.02423,,
2014,11,6,2,0,,0.02393,,
